Log_DeltaBA,CMIP_deltacVegTree
-2.50678129,4.945551481
-2.506637052,8.305001651
-2.505786318,6.528441638
-2.504999305,6.340471703
-2.503923845,4.042336752
-2.503189477,7.294109922
-2.501428045,5.507857148
-2.500277144,7.437719076
-2.499802151,6.721856517
-2.499743681,8.811553781
-2.49972215,4.812092264
-2.49961014,6.515483176
-2.499571901,8.008796178
-2.498470832,4.050204179
-2.497424375,5.820772876
-2.497319524,5.406195003
-2.496980444,7.563167323
-2.496882458,5.336492549
-2.496786008,7.090214327
-2.496283046,6.709275358
-2.49602656,6.44859481
-2.494288748,5.935724693
-2.493644955,5.622455063
-2.492490452,7.612348559
-2.492438495,5.438097777
-2.492357563,5.39906617
-2.490778353,4.971690982
-2.490489895,5.3333515
-2.488419612,7.199671514
-2.487724601,5.702439266
-2.486923755,3.710289177
-2.486378842,7.753415495
-2.486187751,7.434148691
-2.485884418,7.7308452
-2.485463276,7.874131189
-2.484843499,7.154149139
-2.484527567,7.505645865
-2.484489653,7.154775506
-2.484408131,8.497559008
-2.48423967,7.459684055
-2.484208195,6.379402017
-2.484193839,10.58632108
-2.483943802,4.635218192
-2.48177998,4.745863619
-2.480459251,6.942515847
-2.479495716,5.941826056
-2.479379404,4.513783822
-2.479269891,7.688337719
-2.478546663,6.282912512
-2.47816433,4.637705253
-2.476327409,5.714875979
-2.47583539,5.656655635
-2.474943273,5.205293128
-2.474007058,8.496389011
-2.473922447,6.326076055
-2.472968349,6.226556853
-2.471757504,7.009129699
-2.471546241,6.025579205
-2.471456449,8.644000316
-2.471436932,7.772967936
-2.470576456,6.070280403
-2.466682526,6.437963183
-2.46630906,5.58045009
-2.465794732,6.123652576
-2.464184374,6.523590014
-2.46236881,6.678077469
-2.46208038,7.242464944
-2.460508571,5.791073509
-2.459071907,7.429608112
-2.458568995,5.311667644
-2.458121357,3.721321305
-2.458111076,7.188034658
-2.458024125,8.356093013
-2.457966271,5.801745969
-2.45758885,7.078935094
-2.456864438,4.780479311
-2.45643617,4.921019742
-2.45544652,5.40417274
-2.454879929,8.377644773
-2.454776803,7.30209496
-2.453712351,5.381595618
-2.453220923,7.382465354
-2.453191493,6.500688503
-2.452729352,5.03882195
-2.45196344,7.283777426
-2.450165903,7.868016495
-2.449593862,8.707442594
-2.448455133,5.202503574
-2.448213412,8.023223089
-2.447057116,4.302123703
-2.446983168,5.457778872
-2.445806978,7.412450165
-2.444868196,8.186002946
-2.443553573,7.135486864
-2.442964329,4.098225122
-2.442535851,6.175420424
-2.442218878,5.407935233
-2.442073586,5.98756084
-2.441162228,3.39848688
-2.440380502,8.055221061
-2.439646202,7.050115323
-2.439559776,6.374539322
-2.436506205,6.321287399
-2.435811426,9.45474915
-2.435157084,7.932260945
-2.434600867,7.574867447
-2.43414303,8.144449621
-2.433873347,5.284384072
-2.433132816,8.284753529
-2.433107011,9.187183059
-2.432597907,5.378609254
-2.430819742,3.374685746
-2.4307628,5.478209201
-2.430216563,3.135119506
-2.430168005,5.853989322
-2.429896628,4.430049378
-2.429772146,5.168850658
-2.427914916,8.323360587
-2.427535118,5.965953379
-2.426042423,8.013900761
-2.425935074,7.46100631
-2.425835293,6.99169012
-2.425835259,4.671953748
-2.425756255,5.550208875
-2.425349694,9.872012102
-2.425329597,5.621611801
-2.425187153,8.065167359
-2.424215242,5.269992714
-2.423668921,8.127529039
-2.423388944,7.512605699
-2.420206967,7.221927028
-2.41896261,8.392149197
-2.417492308,7.821654991
-2.417051634,4.807646571
-2.416014944,5.851322835
-2.415379317,4.642293702
-2.414692408,6.868569987
-2.414612474,7.82569279
-2.414256786,5.074342904
-2.411340057,4.002845849
-2.410822849,8.314700248
-2.409637618,7.862956686
-2.409152781,5.524485003
-2.407307967,8.434206306
-2.406320144,6.788414954
-2.405291042,6.610235833
-2.403636126,7.165325218
-2.403521215,4.879440321
-2.403480564,8.967744058
-2.403003527,8.244869763
-2.402580531,6.106210242
-2.401438188,7.345876253
-2.40111637,5.037981467
-2.399122168,5.651468894
-2.398191744,7.490885589
-2.396146307,4.333649654
-2.394056675,7.037813951
-2.392953824,5.878122829
-2.391216931,4.205705743
-2.390419583,6.826260601
-2.389550997,5.546653239
-2.389311614,7.64463198
-2.389127609,4.067914896
-2.388016461,3.601940882
-2.387921854,3.41746865
-2.38751709,7.695296985
-2.386219156,5.719218561
-2.385943566,5.601751127
-2.385695145,4.644748864
-2.385668351,7.384655826
-2.385165713,7.727802091
-2.384910528,5.257540061
-2.384850205,6.91636328
-2.384372565,5.662537309
-2.384023766,7.187043922
-2.382361698,4.284080684
-2.382035826,5.797652004
-2.38111268,7.078049397
-2.380037169,8.028227149
-2.37960938,2.074903997
-2.379439376,5.928701551
-2.377190576,4.686530657
-2.377184694,5.750485895
-2.375915962,8.568576063
-2.375896218,6.93995492
-2.375657667,8.271024608
-2.375277638,6.622970333
-2.374442633,6.772729298
-2.37429318,5.02736375
-2.374031663,6.650926881
-2.37350897,6.741247155
-2.373218019,5.098828885
-2.372894194,4.255932472
-2.372613411,6.381642807
-2.371702568,6.78860792
-2.371028468,5.898031387
-2.370818749,6.873688713
-2.370531834,6.423477055
-2.369746009,6.996326065
-2.369121073,7.74094242
-2.368561381,8.804745019
-2.367362827,6.257389402
-2.36695913,7.913857484
-2.366592088,5.164969249
-2.366375625,7.982471415
-2.366339746,5.097108397
-2.366195742,5.226112489
-2.364822542,4.195295638
-2.362998899,4.650454102
-2.361952202,7.032500284
-2.361624266,7.078554873
-2.360866075,3.506831018
-2.359372215,5.172773172
-2.358945423,7.906265289
-2.358876347,6.276227211
-2.357769985,7.259779882
-2.357344883,7.357245083
-2.356650302,5.777215405
-2.355162126,7.898302601
-2.355144425,5.464293642
-2.352849439,6.868570947
-2.352800595,6.435470192
-2.352712465,7.753820211
-2.351284678,8.019576108
-2.350808727,8.706233888
-2.350690007,8.463364481
-2.350615131,9.196038098
-2.35030939,8.020067817
-2.34914364,5.32774229
-2.348876601,4.724013473
-2.348839124,5.611305503
-2.348015834,8.049625519
-2.347676706,6.557957773
-2.347239676,6.889717137
-2.346904776,7.893678566
-2.346207738,8.224970041
-2.345146432,4.966445254
-2.343723125,8.299006452
-2.343713923,4.098074313
-2.343577172,5.322408258
-2.342726177,7.894162701
-2.34268156,4.552576837
-2.341142924,6.124667441
-2.340894403,4.146910318
-2.340816603,7.189662994
-2.340473306,6.056884837
-2.339634778,8.332829593
-2.334385626,5.258591864
-2.333115114,7.279753145
-2.33298046,5.544214843
-2.332872369,5.832592423
-2.332074574,5.857093596
-2.330315714,8.17725299
-2.329497775,5.828115344
-2.329223869,4.078033391
-2.328707705,7.575626997
-2.328679324,7.293369859
-2.327258752,6.5276048
-2.32720852,5.481522368
-2.326568513,6.677280206
-2.325745493,8.481723999
-2.324298362,7.401086855
-2.322846847,3.490984785
-2.322531129,5.859142114
-2.319761218,5.374516023
-2.319619004,7.021861608
-2.319295877,8.342406751
-2.318798576,5.398525432
-2.318355636,8.682643463
-2.317969364,6.905330843
-2.317592832,5.388924979
-2.317565001,7.817167604
-2.317050951,5.295628759
-2.316998913,6.462553566
-2.316517368,6.015089512
-2.316236705,5.953554555
-2.315108953,7.652022559
-2.314075532,6.843033807
-2.312502466,7.125063225
-2.311879468,4.974279976
-2.310486619,7.673747112
-2.310241685,5.649176996
-2.309837252,5.251479197
-2.309295456,7.015018332
-2.309013019,6.2714111
-2.306149594,6.203624219
-2.306115426,5.243686581
-2.305916121,1.931920516
-2.305411253,4.604827899
-2.305029859,7.170884877
-2.304221694,8.432945922
-2.303508163,7.646851945
-2.302476508,6.002708863
-2.301439319,5.278759949
-2.297355491,7.355122772
-2.297316515,5.992733172
